State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Punjab,79.79,Yamaha,MT-15,"? 2,98,221.00",2023,337,Hybrid,92.75,First,2023,Active,Individual,"? 2,11,778.99",Tier 1
Punjab,75.54,Yamaha,MT-15,"? 2,14,334.00",2021,107,Petrol,30.48,Third,2021,Not Available,Individual,"? 1,25,539.44",Tier 1
Delhi,27.59,Honda,Unicorn,"? 2,44,658.00",2015,135,Hybrid,67.28,Third,2017,Active,Individual,"? 1,09,799.86",Tier 1
West Bengal,39.38,Yamaha,MT-15,"? 3,36,456.00",2015,987,Petrol,54.74,Second,2020,Expired,Dealer,"? 2,47,162.71",Tier 2
West Bengal,53.08,Bajaj,Dominar 400,"? 1,55,780.00",2021,704,Electric,83.29,First,2021,Not Available,Individual,"? 93,105.54",Tier 2
Delhi,71.92,KTM,RC 390,"? 2,76,663.00",2016,124,Hybrid,69.22,Second,2020,Expired,Individual,"? 1,43,022.92",Tier 1
Karnataka,76.15,Kawasaki,Vulcan S,"? 1,77,643.00",2019,894,Electric,71.84,First,2019,Expired,Dealer,"? 82,905.99",Tier 2
Karnataka,13.33,Royal Enfield,Himalayan,"? 94,785.00",2022,298,Electric,94.02,First,2022,Not Available,Individual,"? 50,763.91",Tier 2
Uttar Pradesh,29.18,Honda,CBR 650R,"? 1,00,070.00",2019,519,Hybrid,73.66,First,2019,Not Available,Dealer,"? 63,109.68",Tier 1
Maharashtra,13.30,TVS,NTorq 125,"? 1,93,328.00",2016,270,Petrol,50.1,Third,2017,Not Available,Dealer,"? 1,10,479.39",Tier 3
Uttar Pradesh,39.46,Hero,Xtreme 160R,"? 2,35,683.00",2015,810,Hybrid,98.05,Second,2022,Expired,Individual,"? 1,64,187.60",Tier 1
Madhya Pradesh,76.86,Kawasaki,Z650,"? 1,30,041.00",2024,180,Electric,79.18,First,2024,Active,Individual,"? 67,708.97",Tier 2
Punjab,11.66,Hero,Passion Pro,"? 2,36,166.00",2023,164,Petrol,29.51,Second,2024,Active,Dealer,"? 1,64,926.07",Tier 3
Karnataka,19.41,Royal Enfield,Hunter 350,"? 59,197.00",2016,616,Electric,71.95,Third,2017,Not Available,Dealer,"? 35,697.16",Tier 2
Delhi,37.15,Honda,CBR 650R,"? 2,59,809.00",2016,307,Hybrid,69.32,First,2016,Active,Individual,"? 1,64,063.34",Tier 2
Tamil Nadu,78.01,Kawasaki,Z650,"? 58,749.00",2018,322,Petrol,58.64,Third,2024,Active,Dealer,"? 24,649.48",Tier 3
Rajasthan,18.12,Honda,CBR 650R,"? 3,47,482.00",2018,114,Hybrid,97.68,Third,2019,Active,Individual,"? 2,31,373.30",Tier 1
Gujarat,29.86,Hero,Xtreme 160R,"? 3,07,074.00",2023,954,Electric,65.08,First,2023,Not Available,Individual,"? 2,38,951.38",Metro
Tamil Nadu,67.83,Hero,Passion Pro,"? 54,434.00",2018,748,Petrol,28.88,First,2018,Expired,Dealer,"? 24,383.72",Tier 3
Karnataka,23.43,Hero,Xtreme 160R,"? 3,16,069.00",2019,365,Electric,91.15,Third,2021,Not Available,Individual,"? 2,46,234.79",Tier 1
Madhya Pradesh,34.50,Bajaj,Avenger 220,"? 3,70,719.00",2015,202,Electric,72.27,Third,2020,Expired,Individual,"? 2,44,836.26",Metro
Tamil Nadu,61.05,Yamaha,R15 V4,"? 2,49,738.00",2020,548,Electric,86.21,First,2020,Expired,Individual,"? 1,48,832.10",Metro
Tamil Nadu,57.64,Hero,Xtreme 160R,"? 1,74,590.00",2015,675,Electric,82.16,First,2015,Expired,Dealer,"? 73,245.70",Tier 2
Uttar Pradesh,49.07,Hero,HF Deluxe,"? 1,76,759.00",2024,803,Petrol,47.7,Second,2024,Active,Individual,"? 95,373.15",Metro
Uttar Pradesh,7.05,Royal Enfield,Classic 350,"? 69,367.00",2021,532,Petrol,34.87,First,2021,Active,Individual,"? 54,376.21",Tier 3
Punjab,75.35,Yamaha,Fascino 125,"? 1,51,566.00",2016,358,Petrol,32.04,First,2016,Not Available,Dealer,"? 61,641.19",Tier 2
Uttar Pradesh,25.06,Kawasaki,Ninja 300,"? 2,07,479.00",2018,693,Petrol,28.18,Second,2023,Active,Individual,"? 1,29,077.01",Tier 2
Gujarat,59.07,Kawasaki,Ninja 400,"? 1,53,398.00",2020,355,Hybrid,67.55,Second,2023,Expired,Dealer,"? 1,07,558.21",Tier 3
Uttar Pradesh,23.48,TVS,Ronin,"? 88,359.00",2020,342,Hybrid,88.4,Second,2021,Expired,Individual,"? 42,475.98",Tier 3
West Bengal,38.72,Honda,CBR 650R,"? 1,90,400.00",2015,918,Hybrid,93.49,Second,2017,Not Available,Individual,"? 1,29,124.71",Metro
Karnataka,15.86,Hero,Xtreme 160R,"? 1,82,920.00",2019,108,Hybrid,86.55,Third,2021,Not Available,Dealer,"? 1,29,188.69",Tier 3
Gujarat,11.53,Yamaha,FZ V3,"? 3,54,820.00",2022,505,Hybrid,82.89,Second,2024,Expired,Dealer,"? 2,01,246.41",Metro
West Bengal,61.07,Royal Enfield,Hunter 350,"? 3,66,427.00",2021,727,Hybrid,99.09,Second,2024,Not Available,Individual,"? 2,41,687.56",Tier 3
Uttar Pradesh,47.76,Honda,Shine,"? 3,80,071.00",2023,928,Hybrid,89.92,Second,2024,Active,Dealer,"? 1,71,149.96",Metro
Gujarat,73.04,Kawasaki,Versys 650,"? 3,80,954.00",2015,409,Petrol,33.83,Second,2022,Expired,Dealer,"? 2,86,919.55",Tier 2
Punjab,58.79,TVS,Apache RTR 160,"? 92,200.00",2019,531,Hybrid,85.38,First,2019,Active,Individual,"? 44,461.43",Tier 1
Uttar Pradesh,66.63,Yamaha,Ray ZR,"? 2,50,917.00",2024,351,Hybrid,69.91,First,2024,Expired,Individual,"? 1,07,393.44",Tier 3
Delhi,6.57,KTM,390 Adventure,"? 54,061.00",2022,961,Hybrid,69.99,First,2022,Expired,Dealer,"? 39,512.90",Tier 2
Punjab,70.50,Hero,Xtreme 160R,"? 3,63,559.00",2022,688,Electric,99.47,First,2022,Expired,Dealer,"? 2,18,047.24",Tier 2
Uttar Pradesh,68.37,Yamaha,Fascino 125,"? 1,51,506.00",2021,497,Petrol,34.12,First,2021,Not Available,Individual,"? 1,09,657.87",Metro
Madhya Pradesh,77.57,Honda,Activa,"? 2,52,453.00",2018,182,Electric,97.47,First,2018,Active,Dealer,"? 1,22,365.04",Tier 2
West Bengal,22.88,TVS,Jupiter,"? 1,33,696.00",2018,824,Electric,89.03,Third,2019,Not Available,Individual,"? 54,027.53",Tier 3
Delhi,76.50,KTM,250 Duke,"? 3,40,328.00",2015,451,Petrol,40.37,Second,2016,Expired,Dealer,"? 1,89,485.52",Tier 3
Delhi,45.40,KTM,Duke 200,"? 82,173.00",2019,348,Hybrid,71.95,Third,2024,Active,Dealer,"? 45,341.69",Tier 1
Uttar Pradesh,48.01,TVS,Jupiter,"? 3,51,117.00",2022,158,Hybrid,60.56,First,2022,Not Available,Dealer,"? 2,07,255.15",Tier 2
Punjab,17.74,TVS,Jupiter,"? 3,20,920.00",2021,515,Electric,90.83,Second,2021,Active,Individual,"? 1,95,809.75",Tier 1
Madhya Pradesh,67.68,Royal Enfield,Interceptor 650,"? 1,66,846.00",2024,115,Petrol,49.61,Second,2024,Not Available,Individual,"? 79,583.35",Tier 1
Rajasthan,74.06,Bajaj,Dominar 400,"? 1,38,391.00",2023,817,Electric,87.62,First,2023,Active,Dealer,"? 73,618.97",Tier 2
West Bengal,76.25,Bajaj,Dominar 400,"? 3,35,536.00",2015,751,Electric,67.17,Second,2017,Expired,Dealer,"? 2,11,233.60",Metro
Maharashtra,54.13,KTM,RC 390,"? 3,87,071.00",2022,260,Electric,82,Third,2023,Not Available,Individual,"? 2,40,638.28",Tier 1
Gujarat,25.95,KTM,390 Adventure,"? 3,29,462.00",2017,970,Petrol,26.11,First,2017,Expired,Individual,"? 1,59,952.82",Tier 1
Rajasthan,54.59,Bajaj,Avenger 220,"? 1,14,390.00",2021,192,Hybrid,86.05,Second,2023,Not Available,Dealer,"? 79,747.16",Tier 1
West Bengal,52.63,TVS,Sport,"? 2,74,591.00",2019,436,Electric,66.33,Second,2023,Expired,Dealer,"? 1,73,806.14",Tier 1
West Bengal,10.74,Yamaha,Ray ZR,"? 3,49,560.00",2017,138,Hybrid,81.58,Third,2021,Expired,Dealer,"? 1,44,804.67",Tier 1
Gujarat,65.36,Kawasaki,Z650,"? 1,79,236.00",2017,979,Hybrid,62.87,First,2017,Expired,Individual,"? 1,20,210.30",Tier 1
Madhya Pradesh,23.40,Royal Enfield,Classic 350,"? 2,37,857.00",2022,674,Electric,96,Third,2022,Not Available,Dealer,"? 1,26,989.87",Tier 3
Delhi,29.88,Honda,Unicorn,"? 2,62,447.00",2019,673,Petrol,40.47,First,2019,Not Available,Individual,"? 1,05,062.89",Metro
Tamil Nadu,28.08,KTM,Duke 200,"? 3,09,673.00",2016,454,Hybrid,72.55,First,2016,Not Available,Individual,"? 2,27,953.15",Metro
Delhi,18.47,Royal Enfield,Classic 350,"? 3,11,988.00",2017,604,Petrol,39.07,Third,2018,Not Available,Individual,"? 2,30,470.13",Tier 3
Punjab,42.93,Kawasaki,Z650,"? 3,32,272.00",2024,508,Electric,92.08,Third,2024,Not Available,Dealer,"? 1,98,975.81",Tier 1
Karnataka,56.03,KTM,Duke 200,"? 1,62,233.00",2024,799,Electric,66.06,Second,2024,Active,Dealer,"? 97,158.61",Tier 2
Gujarat,15.56,Kawasaki,Vulcan S,"? 2,57,731.00",2024,649,Hybrid,67.18,Second,2024,Active,Dealer,"? 2,03,094.45",Tier 3
Gujarat,23.73,KTM,125 Duke,"? 3,73,624.00",2018,964,Hybrid,99.46,Second,2018,Expired,Dealer,"? 1,86,680.55",Tier 3
Punjab,66.91,Royal Enfield,Himalayan,"? 86,023.00",2022,567,Hybrid,72.15,Second,2022,Active,Dealer,"? 36,843.26",Tier 2
Maharashtra,15.76,TVS,Ronin,"? 2,33,763.00",2019,260,Electric,75.13,Second,2019,Expired,Individual,"? 1,13,758.90",Tier 3
Madhya Pradesh,27.17,Bajaj,CT 100,"? 2,06,192.00",2019,834,Electric,74.38,First,2019,Expired,Individual,"? 88,044.31",Tier 2
Punjab,63.62,Yamaha,Fascino 125,"? 95,988.00",2016,248,Hybrid,82.84,First,2016,Active,Dealer,"? 59,126.46",Tier 2
Punjab,56.69,Kawasaki,Z650,"? 1,06,862.00",2022,270,Hybrid,60.88,First,2022,Not Available,Individual,"? 85,367.32",Metro
Gujarat,34.78,Yamaha,Fascino 125,"? 3,63,332.00",2019,801,Hybrid,71.06,Third,2019,Not Available,Dealer,"? 1,69,282.72",Tier 3
Rajasthan,30.10,TVS,Ronin,"? 2,90,637.00",2019,760,Hybrid,78.96,Second,2020,Expired,Individual,"? 1,56,606.27",Tier 2
Maharashtra,47.83,Honda,Activa,"? 3,34,262.00",2019,141,Hybrid,95.18,First,2019,Not Available,Individual,"? 1,76,586.22",Metro
Madhya Pradesh,73.22,Honda,Dio,"? 1,80,792.00",2022,686,Petrol,52.21,First,2022,Expired,Dealer,"? 1,03,730.35",Tier 1
Karnataka,22.58,Honda,CBR 650R,"? 73,919.00",2018,376,Hybrid,63.62,Second,2020,Not Available,Dealer,"? 47,894.22",Tier 3
Uttar Pradesh,22.27,Bajaj,Platina 110,"? 1,04,949.00",2024,796,Hybrid,83.5,Third,2024,Expired,Dealer,"? 78,614.80",Tier 3
Madhya Pradesh,13.99,Royal Enfield,Himalayan,"? 2,42,802.00",2019,962,Hybrid,87.62,Second,2024,Active,Dealer,"? 1,04,779.00",Tier 1
Delhi,77.15,Bajaj,CT 100,"? 3,65,805.00",2015,693,Petrol,38.18,Third,2018,Expired,Individual,"? 1,74,216.61",Tier 2
Maharashtra,61.50,TVS,Sport,"? 3,39,469.00",2021,222,Electric,66.45,Second,2022,Expired,Dealer,"? 2,39,906.32",Tier 1
Tamil Nadu,58.93,Kawasaki,Vulcan S,"? 3,61,924.00",2015,711,Electric,86.28,Third,2024,Expired,Dealer,"? 2,75,399.94",Metro
Karnataka,54.87,KTM,390 Adventure,"? 67,693.00",2017,908,Electric,61.38,First,2017,Active,Dealer,"? 40,078.49",Tier 3
Uttar Pradesh,62.55,Kawasaki,Vulcan S,"? 2,08,146.00",2018,624,Petrol,26.12,Second,2019,Expired,Dealer,"? 1,34,004.14",Metro
Rajasthan,51.11,Kawasaki,Vulcan S,"? 2,70,954.00",2023,662,Hybrid,68.36,Third,2024,Expired,Individual,"? 1,94,717.29",Tier 3
Maharashtra,71.40,KTM,250 Duke,"? 3,71,384.00",2022,409,Electric,89.93,Third,2023,Active,Individual,"? 2,57,520.71",Tier 1
Delhi,21.61,Yamaha,R15 V4,"? 85,751.00",2017,572,Petrol,56,Third,2024,Expired,Individual,"? 49,977.01",Tier 1
Gujarat,31.46,Royal Enfield,Interceptor 650,"? 2,85,176.00",2017,194,Electric,71.64,Third,2024,Active,Dealer,"? 2,24,058.30",Tier 2
Madhya Pradesh,44.81,Honda,Shine,"? 52,629.00",2017,250,Hybrid,98.64,Second,2021,Active,Dealer,"? 26,777.66",Tier 1
Tamil Nadu,23.69,Kawasaki,Z650,"? 76,541.00",2024,171,Hybrid,86.37,First,2024,Expired,Dealer,"? 35,509.05",Tier 1
West Bengal,41.19,TVS,Sport,"? 1,13,157.00",2020,330,Petrol,53.44,Third,2023,Expired,Individual,"? 84,084.55",Tier 1
Delhi,73.14,Bajaj,Dominar 400,"? 3,03,327.00",2018,884,Electric,89.06,Third,2020,Not Available,Individual,"? 1,73,328.04",Tier 2
Madhya Pradesh,39.29,Kawasaki,Z650,"? 1,08,550.00",2018,885,Petrol,40.23,Second,2024,Not Available,Individual,"? 77,447.67",Tier 2
Gujarat,57.25,TVS,NTorq 125,"? 1,95,569.00",2021,849,Petrol,30.46,Third,2023,Active,Dealer,"? 1,02,735.95",Tier 2
Uttar Pradesh,74.75,Hero,Xtreme 160R,"? 1,78,008.00",2017,304,Hybrid,72.65,First,2017,Active,Dealer,"? 1,12,356.13",Tier 2
Tamil Nadu,20.86,Bajaj,Platina 110,"? 62,265.00",2022,144,Electric,68.44,First,2022,Active,Dealer,"? 25,092.63",Tier 2
Delhi,6.85,Bajaj,Platina 110,"? 2,81,949.00",2021,953,Petrol,36.19,Third,2022,Not Available,Individual,"? 1,20,436.92",Tier 3
Madhya Pradesh,54.49,KTM,125 Duke,"? 3,25,852.00",2018,699,Electric,60.28,First,2018,Not Available,Individual,"? 1,69,260.65",Metro
Maharashtra,14.72,Kawasaki,Versys 650,"? 1,20,437.00",2018,779,Electric,62.78,First,2018,Expired,Dealer,"? 70,640.06",Tier 1
Madhya Pradesh,38.79,Yamaha,FZ V3,"? 1,05,619.00",2015,941,Electric,93.76,First,2015,Active,Individual,"? 48,288.00",Tier 3
Madhya Pradesh,74.91,TVS,Jupiter,"? 1,45,954.00",2021,955,Petrol,43.96,First,2021,Expired,Dealer,"? 76,251.40",Tier 1
West Bengal,19.45,KTM,Duke 200,"? 2,37,128.00",2016,307,Electric,84.18,Third,2022,Expired,Individual,"? 1,78,085.54",Tier 2
Maharashtra,7.48,Kawasaki,Versys 650,"? 2,12,706.00",2018,582,Hybrid,81.98,First,2018,Not Available,Individual,"? 1,66,930.28",Metro
Tamil Nadu,78.43,Honda,Shine,"? 1,48,576.00",2024,672,Electric,91.97,First,2024,Active,Individual,"? 78,200.86",Tier 1
Tamil Nadu,71.26,Kawasaki,Versys 650,"? 3,20,758.00",2022,776,Electric,74.44,First,2022,Active,Individual,"? 2,03,505.20",Tier 3
Tamil Nadu,77.39,Yamaha,Fascino 125,"? 2,38,554.00",2017,419,Hybrid,75.08,Third,2020,Not Available,Individual,"? 1,74,036.78",Tier 2
Delhi,9.05,KTM,Duke 200,"? 51,289.00",2016,469,Petrol,58.16,Third,2019,Active,Individual,"? 32,084.64",Tier 1
Maharashtra,62.98,Bajaj,Platina 110,"? 2,25,223.00",2018,132,Hybrid,62.81,Second,2022,Not Available,Individual,"? 1,50,818.03",Metro
Maharashtra,36.30,Honda,Unicorn,"? 3,45,283.00",2018,143,Electric,78.94,Second,2020,Expired,Individual,"? 1,65,055.74",Tier 3
West Bengal,12.06,KTM,390 Adventure,"? 2,52,489.00",2016,160,Petrol,35.87,Third,2018,Active,Individual,"? 1,89,869.02",Tier 2
Madhya Pradesh,70.77,Yamaha,R15 V4,"? 2,54,079.00",2017,907,Electric,78.94,First,2017,Expired,Dealer,"? 1,55,646.76",Tier 1
Rajasthan,32.22,KTM,Duke 200,"? 3,63,794.00",2017,491,Hybrid,91.26,First,2017,Not Available,Dealer,"? 2,08,851.67",Tier 3
Maharashtra,9.58,Hero,HF Deluxe,"? 1,66,488.00",2019,572,Electric,70.84,Third,2020,Not Available,Dealer,"? 74,099.21",Tier 3
Gujarat,9.17,Royal Enfield,Hunter 350,"? 3,31,363.00",2016,142,Electric,83.66,First,2016,Active,Individual,"? 2,13,530.57",Tier 1
Karnataka,52.02,Hero,Glamour,"? 1,60,814.00",2017,949,Electric,98.83,Second,2018,Active,Individual,"? 79,461.70",Tier 3
Tamil Nadu,79.61,Hero,Passion Pro,"? 1,99,595.00",2022,361,Petrol,55.52,Third,2022,Expired,Dealer,"? 1,34,569.17",Tier 1
Gujarat,42.30,Yamaha,R15 V4,"? 1,48,756.00",2017,854,Petrol,50.61,Second,2018,Active,Individual,"? 78,474.08",Tier 1
Uttar Pradesh,5.61,Yamaha,Fascino 125,"? 2,99,551.00",2018,955,Petrol,48.85,First,2018,Expired,Dealer,"? 1,57,013.56",Tier 2
Madhya Pradesh,50.85,TVS,Sport,"? 2,05,159.00",2024,916,Hybrid,95.18,Third,2024,Expired,Individual,"? 95,686.60",Tier 1
Tamil Nadu,16.56,TVS,Ronin,"? 1,28,822.00",2018,970,Hybrid,74.85,Third,2023,Expired,Dealer,"? 63,493.15",Metro
Tamil Nadu,53.38,KTM,Duke 200,"? 3,41,728.00",2021,516,Hybrid,99.2,First,2021,Expired,Dealer,"? 1,43,867.63",Tier 3
Uttar Pradesh,58.76,KTM,250 Duke,"? 66,803.00",2016,620,Petrol,36.85,Third,2020,Active,Individual,"? 50,606.67",Tier 2
Gujarat,72.68,Kawasaki,Ninja 400,"? 2,93,188.00",2016,999,Petrol,27.79,Third,2019,Expired,Individual,"? 1,84,127.40",Metro
Uttar Pradesh,59.90,Hero,Splendor Plus,"? 2,58,869.00",2015,870,Electric,78.45,First,2015,Expired,Individual,"? 1,31,852.57",Metro
West Bengal,14.26,KTM,Duke 200,"? 68,970.00",2023,933,Electric,94.1,First,2023,Not Available,Dealer,"? 50,542.94",Metro
Tamil Nadu,28.16,Yamaha,FZ V3,"? 3,66,727.00",2020,482,Petrol,52.05,First,2020,Active,Dealer,"? 2,08,346.96",Metro
Madhya Pradesh,57.81,Royal Enfield,Meteor 350,"? 2,81,649.00",2019,467,Electric,80.23,Second,2023,Not Available,Individual,"? 2,13,864.19",Metro
Uttar Pradesh,11.92,Yamaha,Ray ZR,"? 2,18,134.00",2018,779,Petrol,38.07,Second,2022,Active,Dealer,"? 1,50,235.49",Metro
Gujarat,66.99,Kawasaki,Vulcan S,"? 2,78,416.00",2018,163,Electric,75.81,Second,2023,Active,Individual,"? 1,81,857.82",Tier 1
West Bengal,54.39,KTM,Duke 200,"? 2,29,259.00",2020,222,Electric,67.98,First,2020,Active,Individual,"? 1,36,254.92",Tier 2
Tamil Nadu,35.89,TVS,Jupiter,"? 1,43,358.00",2017,536,Hybrid,60.31,First,2017,Not Available,Dealer,"? 62,868.11",Tier 2
Maharashtra,34.03,TVS,NTorq 125,"? 1,19,795.00",2024,880,Petrol,47.47,Second,2024,Expired,Dealer,"? 52,407.06",Tier 2
Karnataka,8.69,Hero,HF Deluxe,"? 53,865.00",2022,844,Petrol,36.46,Second,2023,Not Available,Dealer,"? 33,908.65",Tier 2
West Bengal,79.29,Hero,Passion Pro,"? 2,12,553.00",2018,686,Hybrid,77.87,Second,2020,Active,Dealer,"? 1,68,463.50",Tier 1
Karnataka,67.44,Yamaha,Fascino 125,"? 1,53,541.00",2022,264,Electric,82.59,Third,2024,Active,Individual,"? 1,17,022.06",Tier 2
Punjab,28.08,TVS,NTorq 125,"? 1,13,475.00",2019,155,Petrol,49.14,First,2019,Not Available,Dealer,"? 48,772.34",Metro
West Bengal,61.98,TVS,Apache RTR 160,"? 1,52,184.00",2018,674,Electric,69.73,First,2018,Not Available,Dealer,"? 67,707.45",Tier 3
Rajasthan,64.87,KTM,390 Adventure,"? 3,97,676.00",2021,136,Electric,92.68,First,2021,Active,Individual,"? 2,55,288.45",Tier 2
Karnataka,6.64,Bajaj,CT 100,"? 2,84,896.00",2015,302,Electric,96.29,Second,2022,Not Available,Dealer,"? 1,85,003.89",Metro
Rajasthan,56.14,KTM,RC 390,"? 1,79,837.00",2021,697,Petrol,36.91,Second,2021,Expired,Individual,"? 87,093.68",Tier 3
Tamil Nadu,78.58,TVS,Jupiter,"? 3,09,850.00",2022,549,Electric,90.86,Third,2024,Expired,Dealer,"? 1,71,427.32",Tier 3
West Bengal,68.75,Royal Enfield,Meteor 350,"? 1,91,941.00",2016,532,Hybrid,95.77,Third,2017,Not Available,Individual,"? 83,528.06",Tier 1
Punjab,36.92,TVS,NTorq 125,"? 90,788.00",2021,195,Petrol,34.3,First,2021,Expired,Individual,"? 45,510.15",Metro
West Bengal,33.00,Honda,Shine,"? 1,61,644.00",2019,721,Hybrid,93.15,Third,2020,Active,Dealer,"? 1,05,292.17",Tier 1
Punjab,12.47,Royal Enfield,Classic 350,"? 2,09,382.00",2020,291,Petrol,51.96,Second,2020,Expired,Individual,"? 86,958.92",Tier 3
West Bengal,56.86,Bajaj,Avenger 220,"? 1,37,593.00",2024,578,Hybrid,92.12,First,2024,Not Available,Individual,"? 74,494.93",Metro
Karnataka,49.32,Yamaha,FZ V3,"? 97,780.00",2024,273,Hybrid,82,Third,2024,Active,Dealer,"? 70,372.00",Tier 1
Maharashtra,44.55,Hero,Glamour,"? 1,94,949.00",2015,392,Electric,68.68,Third,2019,Not Available,Individual,"? 1,49,729.32",Metro
Madhya Pradesh,60.70,Royal Enfield,Meteor 350,"? 1,79,671.00",2017,352,Hybrid,76.12,Third,2020,Expired,Individual,"? 1,33,564.51",Tier 1
Maharashtra,26.85,Honda,Dio,"? 1,42,140.00",2017,576,Hybrid,65.24,First,2017,Active,Individual,"? 76,664.34",Metro
Uttar Pradesh,69.26,Kawasaki,Ninja 400,"? 3,71,551.00",2019,651,Petrol,25.61,Third,2022,Expired,Dealer,"? 2,72,332.01",Tier 3
Madhya Pradesh,61.70,Kawasaki,Ninja 400,"? 2,71,672.00",2023,345,Hybrid,98.87,First,2023,Active,Individual,"? 1,83,932.92",Metro
Punjab,12.31,Hero,Xtreme 160R,"? 2,63,796.00",2023,739,Hybrid,88.62,Third,2023,Expired,Individual,"? 1,52,915.75",Tier 1
Tamil Nadu,30.98,TVS,Ronin,"? 3,95,765.00",2024,214,Petrol,41.3,Second,2024,Active,Dealer,"? 2,31,713.25",Tier 3
Tamil Nadu,62.16,TVS,Ronin,"? 2,53,811.00",2024,962,Electric,64.56,Third,2024,Not Available,Dealer,"? 1,32,110.26",Tier 3
Delhi,14.34,Hero,Glamour,"? 2,99,859.00",2020,598,Hybrid,87.08,Second,2022,Expired,Individual,"? 1,73,448.35",Tier 1
Karnataka,8.00,Hero,Glamour,"? 90,609.00",2024,545,Petrol,34.32,First,2024,Active,Individual,"? 37,200.00",Tier 3
Maharashtra,77.71,Honda,Unicorn,"? 3,13,848.00",2021,582,Electric,96.4,Second,2023,Active,Dealer,"? 2,20,669.59",Tier 3
Madhya Pradesh,6.02,Kawasaki,Ninja 300,"? 2,69,015.00",2023,796,Petrol,37.84,First,2023,Expired,Individual,"? 1,72,204.97",Metro
Tamil Nadu,13.31,TVS,Sport,"? 3,94,487.00",2023,567,Hybrid,67.93,Third,2023,Expired,Individual,"? 2,15,594.12",Tier 2
Punjab,79.63,TVS,Ronin,"? 2,75,451.00",2019,210,Petrol,58.98,Third,2023,Active,Individual,"? 1,64,816.50",Tier 2
Punjab,65.18,Royal Enfield,Hunter 350,"? 3,02,929.00",2024,891,Electric,99.63,Third,2024,Active,Individual,"? 1,22,432.50",Tier 1
Uttar Pradesh,57.84,Yamaha,Fascino 125,"? 2,14,149.00",2015,901,Electric,67.3,Second,2019,Active,Individual,"? 1,34,168.69",Tier 1
Rajasthan,41.18,TVS,Sport,"? 66,999.00",2019,789,Hybrid,61.95,Second,2020,Active,Individual,"? 43,391.19",Metro
Rajasthan,50.49,Honda,Dio,"? 3,76,278.00",2024,822,Petrol,54.38,First,2024,Expired,Dealer,"? 2,96,802.47",Metro
Punjab,51.45,Hero,Xtreme 160R,"? 2,34,956.00",2017,538,Hybrid,68.32,First,2017,Expired,Individual,"? 1,20,398.17",Tier 2
Gujarat,26.74,TVS,NTorq 125,"? 1,42,954.00",2018,967,Electric,91.14,First,2018,Expired,Individual,"? 73,051.68",Tier 1
Delhi,33.47,Kawasaki,Vulcan S,"? 2,97,343.00",2021,600,Petrol,54.94,First,2021,Expired,Individual,"? 1,95,201.55",Tier 3
Karnataka,16.66,Kawasaki,Ninja 400,"? 2,47,471.00",2018,196,Electric,83.39,Second,2024,Not Available,Dealer,"? 1,52,626.84",Tier 2
Madhya Pradesh,46.04,Royal Enfield,Meteor 350,"? 3,16,068.00",2023,280,Electric,85.62,Third,2024,Not Available,Dealer,"? 2,14,802.60",Tier 3
Tamil Nadu,24.91,KTM,RC 390,"? 1,11,567.00",2024,653,Electric,96.18,Second,2024,Expired,Dealer,"? 75,531.70",Metro
Punjab,36.99,Kawasaki,Versys 650,"? 1,54,074.00",2022,814,Electric,77.18,Second,2023,Not Available,Dealer,"? 71,533.13",Metro
Rajasthan,7.95,Hero,Glamour,"? 84,506.00",2024,596,Hybrid,61.67,Third,2024,Not Available,Individual,"? 47,361.90",Tier 2
West Bengal,77.51,Bajaj,CT 100,"? 1,42,975.00",2022,467,Electric,74.99,Third,2022,Not Available,Individual,"? 61,329.89",Tier 2
Gujarat,13.41,Royal Enfield,Hunter 350,"? 79,549.00",2020,434,Petrol,43.55,Second,2022,Expired,Individual,"? 46,793.97",Metro
Karnataka,47.86,Kawasaki,Vulcan S,"? 2,88,319.00",2022,189,Petrol,55.37,Second,2024,Active,Individual,"? 1,96,010.51",Tier 3
Madhya Pradesh,31.32,Royal Enfield,Classic 350,"? 1,38,465.00",2023,642,Hybrid,81.95,Second,2024,Not Available,Dealer,"? 80,175.83",Tier 1
West Bengal,64.65,TVS,Sport,"? 2,20,343.00",2015,102,Electric,97.92,Third,2022,Active,Dealer,"? 91,269.34",Tier 3
Rajasthan,45.89,Bajaj,Platina 110,"? 3,91,685.00",2023,905,Petrol,34.33,Second,2024,Not Available,Individual,"? 2,26,680.01",Metro
Punjab,35.31,Kawasaki,Vulcan S,"? 53,094.00",2017,407,Hybrid,79.39,First,2017,Expired,Individual,"? 28,277.50",Metro
Maharashtra,60.73,Hero,Xtreme 160R,"? 2,00,835.00",2016,500,Petrol,49.45,First,2016,Expired,Individual,"? 1,37,882.04",Tier 3
Uttar Pradesh,10.06,Hero,Passion Pro,"? 2,42,110.00",2022,849,Hybrid,96.05,Second,2022,Not Available,Dealer,"? 1,65,672.84",Tier 1
Rajasthan,65.34,KTM,Duke 200,"? 3,03,391.00",2017,215,Petrol,34.56,Third,2022,Active,Dealer,"? 1,80,908.61",Tier 3
